id,nombre,popularity,artista,pais,genero
282,Stadionai,37,"Jessica Shy, Rokas",LT,NULL
283,Milion słów,1,Jula,LT,polish
284,Low Life (feat. The Weeknd),79,"Future, The Weeknd",LT,NULL
285,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LT,NULL
286,The Night We Met,84,Lord Huron,LT,indie
287,"Ee Khalbitha (From ""IDI"")",0,"Rahul Raj, Suchith Sureshan",LT,NULL
288,Solo,78,Future,LT,MySpotigramBot
289,Wenn jetzt Sommer wär (feat. Chapeau Claque),0,"Pretty Pink, Chapeau Claque",LT,NULL
290,Swim,83,Chase Atlantic,LT,seen live
291,Stretch,0,Louise,LT,great quality stuff
292,Starboy,84,"The Weeknd, Daft Punk",LT,NULL
293,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,LT,NULL
294,Люби меня,62,"MiyaGi & Endspiel, Sимптом",LT,NULL
295,Die Heelal (feat. Early B),0,"Janie Bay, Early B",LT,NULL
296,Kino filmai 2015,36,"Biplan, Agnė Ditkovskytė",LT,NULL
297,Sirenen,0,Tommy,LT,NULL
298,Медуза,58,MATRANG,LT,dance
299,言葉のいらない約束,0,sana,LT,J-rock
300,All The Stars (with SZA),90,"Kendrick Lamar, SZA",LV,NULL
301,Слэмятся пацаны,2,"Little Big, Ruki Vverh!",LV,NULL
302,Sundress,78,A$AP Rocky,LV,MySpotigramBot
303,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",LV,NULL
304,See You Again (feat. Kali Uchis),86,"Tyler, The Creator, Kali Uchis",LV,NULL
305,Дождь (feat. МакSим),1,"Geegun, MAKSIM",LV,NULL
306,The Night We Met,84,Lord Huron,LV,indie
307,Did You Love Me,0,Shannon & the Clams,LV,NULL
308,Vēlvienreiz,37,Sudrabu Sirds,LV,NULL
309,Wenn jetzt Sommer wär (feat. Chapeau Claque),0,"Pretty Pink, Chapeau Claque",LV,NULL
310,Cigarettes out the Window,80,TV Girl,LV,indie pop
311,"Someday in My Life (Live at Ziggo Dome, Amsterdam)",0,Simply Red,LV,NULL
312,Low Life (feat. The Weeknd),79,"Future, The Weeknd",LV,NULL
313,"Say You Love Me (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LV,NULL
314,I Got Love,63,"MiyaGi & Endspiel, Rem Digga",LV,NULL
315,Skrrt,7,"K27, Einar",LV,NULL
316,Solo,78,Future,LV,MySpotigramBot
317,In Betweenin',0,Austin Brown,LV,NULL
318,HUMBLE.,84,Kendrick Lamar,LV,rap
319,"Holding Back the Years (Live at Ziggo Dome, Amsterdam)",2,Simply Red,LV,NULL
320,Softcore,81,The Neighbourhood,LV,alternative
321,Downtown,16,"Anitta, J Balvin",LV,NULL
322,PRIDE.,80,Kendrick Lamar,LV,MySpotigramBot
323,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",LV,NULL
324,White Ferrari,81,Frank Ocean,LV,singer-songwriter
325,Enamorado,2,Alexander Stewart,LV,pop
326,"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",75,"A$AP Rocky, Rod Stewart, Miguel, Mark Ronson",LV,NULL
327,"For Your Babies (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LV,NULL
328,Swim,83,Chase Atlantic,LV,seen live
329,"So Beautiful (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LV,NULL
330,Pink + White,82,Frank Ocean,LV,NULL
331,Matador (feat. Tommy),1,"CAPO, Tommy",LV,NULL
332,Daddy Issues,80,The Neighbourhood,LV,MySpotigramBot
333,Milion słów,1,Jula,LV,polish
334,Praise The Lord (Da Shine) (feat. Skepta),78,"A$AP Rocky, Skepta",LV,NULL
335,"Your Mirror (Live at Ziggo Dome, Amsterdam)",1,Simply Red,LV,NULL
336,Люби меня,62,"MiyaGi & Endspiel, Sимптом",LV,NULL
337,"Ee Khalbitha (From ""IDI"")",0,"Rahul Raj, Suchith Sureshan",LV,NULL
338,Not Allowed,80,TV Girl,LV,indie pop
339,Stretch,0,Louise,LV,great quality stuff
340,Falling Down - Bonus Track,79,"Lil Peep, XXXTENTACION",LV,NULL
341,"A New Flame (Live at Ziggo Dome, Amsterdam)",0,Simply Red,LV,NULL
342,Unforgettable,80,"French Montana, Swae Lee",LV,NULL
343,Die Heelal (feat. Early B),0,"Janie Bay, Early B",LV,NULL
344,Balss,34,Sudrabu Sirds,LV,NULL
345,Sirenen,0,Tommy,LV,NULL
346,Starboy,84,"The Weeknd, Daft Punk",LV,NULL
347,言葉のいらない約束,0,sana,LV,J-rock
348,Star Shopping,76,Lil Peep,LV,dream pop
349,Do It Like You Mean It (feat. Yoel 905),0,"Frans, Yoel905",LV,NULL
350,All The Stars (with SZA),90,"Kendrick Lamar, SZA",NO,NULL
351,Skrrt,7,"K27, Einar",NO,NULL
352,The Night We Met,84,Lord Huron,NO,indie
353,Enamorado,2,Alexander Stewart,NO,pop
354,Lush Life,77,Zara Larsson,NO,pop
355,"Greenwood, Philip Selway, Edward O'Brien, Colin Greenwood: Pyramid Song (Arr. Lawson)",3,"Jonny Greenwood, Thom Yorke, Philip Selway, Edward O’Brien, Colin Greenwood, VOCES8, Thomas Gould, Matthew Sharp, Eleanor Turner",NO,NULL
356,when the party's over,80,Billie Eilish,NO,pop
357,I'm Better (feat. Lamb),2,"Missy Elliott, Lamb",NO,NULL
358,Pink + White,82,Frank Ocean,NO,NULL
