id,nombre,popularity,artista,pais,genero
208,"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",SI,NULL
209,BIRDS OF A FEATHER,93,Billie Eilish,SI,alt-pop
210,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",SI,NULL
211,Voice,57,Nucci,SI,NULL
212,Don't Play by the Rules,3,"D.T.E, PREZIOSO",SI,NULL
213,SEXDRIVE,58,"Jala Brat, Buba Corelli",SI,NULL
214,Bank of Wildflowers (feat. Georgia),0,"William Orbit, Georgia",SI,NULL
215,KEHLANI,57,"Jala Brat, Buba Corelli",SI,NULL
216,Rodeo (Remix),9,"Lah Pat, Flo Milli",SI,NULL
217,Fantazija,54,"Grše, Miach",SI,NULL
218,Passenger Princess,6,"Aminé, Smino",SI,NULL
219,Bez Koda,56,"Jala Brat, Buba Corelli",SI,NULL
220,Family Feud - Live at The Ford,2,FINNEAS,SI,NULL
221,Sailor Song,89,Gigi Perez,SI,indie folk
222,Little Window - Live Studio Session,3,FINNEAS,SI,NULL
223,Palme,51,"Ano, Mili",SI,NULL
224,04:30,7,"Haze, Mucco",SI,NULL
225,VVS,53,"Voyage, BakaPrase",SI,NULL
226,EA2 (The Beginning of the Era),1,Lil Uzi Vert,SI,NULL
227,Not Like Us,92,Kendrick Lamar,SI,MySpotigramBot
228,Playa (feat. Ella Bands),0,"A Boogie Wit da Hoodie, Ella Bands",SI,NULL
229,Forza,53,Grše,SI,NULL
230,Full Round Table,0,CQ Wrestling,SI,NULL
231,VRATI JE TATI,56,"Jala Brat, Buba Corelli",SI,NULL
232,Vivien,1,††† (Crosses),SI,NULL
233,APT.,91,"ROSÉ, Bruno Mars",SI,NULL
234,Dead Flowers,0,Boldy James,SI,NULL
235,KINGSTON,56,"Jala Brat, Buba Corelli",SI,NULL
236,Circles,7,SAINt JHN,SI,NULL
237,Mangio Pasta,53,"Peki, Grše",SI,NULL
238,DUMBAI,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",SI,NULL
239,Karneval II,53,Sajfer,SI,NULL
240,Swimming with Sharks,0,New Hope Club,SI,NULL
241,tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",SI,NULL
242,I Ain't Sayin' - Performance,2,Jordan Davis,SI,NULL
243,WILDFLOWER,90,Billie Eilish,SI,edu e marco
244,Cono Hielo,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",SI,NULL
245,MAKAROV,56,"Jala Brat, Buba Corelli",SI,NULL
246,Uzi The Earthling! (TV Show Theme),0,Lil Uzi Vert,SI,pop rock
247,BLUR,55,"Jala Brat, Buba Corelli",SI,NULL
248,Poca Fe (En vivo desde Santiago),0,Cami,SI,NULL
249,BASS,60,"Jala Brat, Buba Corelli",HR,NULL
250,That’s So True - Live From Radio City Music Hall,20,Gracie Abrams,HR,NULL
251,"Anđeo - From ""Sram""",57,"Miach, Hiljson Mandela",HR,NULL
252,Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,HR,NULL
253,BLAKA BLAKA,60,"Jala Brat, Buba Corelli, Elena",HR,NULL
254,Aimer à moitié,2,Calema,HR,NULL
255,SEXDRIVE,58,"Jala Brat, Buba Corelli",HR,NULL
256,All We Got (feat. KIDDO),14,"Robin Schulz, KIDDO",HR,NULL
257,KEHLANI,57,"Jala Brat, Buba Corelli",HR,NULL
258,"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",HR,NULL
259,VRATI JE TATI,56,"Jala Brat, Buba Corelli",HR,NULL
260,Hurt,12,OneRepublic,HR,NULL
261,Bez Koda,56,"Jala Brat, Buba Corelli",HR,NULL
262,04:30,7,"Haze, Mucco",HR,NULL
263,Bajadeira,52,"Peki, Hiljson Mandela",HR,NULL
264,Circles,7,SAINt JHN,HR,NULL
265,Voice,57,Nucci,HR,NULL
266,Rodeo (Remix),9,"Lah Pat, Flo Milli",HR,NULL
267,KINGSTON,56,"Jala Brat, Buba Corelli",HR,NULL
268,Don't Play by the Rules,3,"D.T.E, PREZIOSO",HR,NULL
269,BLUR,55,"Jala Brat, Buba Corelli",HR,NULL
270,Standard,6,"Einar, A36",HR,NULL
271,Fantazija,54,"Grše, Miach",HR,NULL
272,Она любила музыку,0,"Dima Bilan, Nataliya Vlasova",HR,NULL
273,MAKAROV,56,"Jala Brat, Buba Corelli",HR,NULL
274,Gyal Dem Time (feat. Teejay),0,"Shaggy, Teejay",HR,NULL
275,Mangio Pasta,53,"Peki, Grše",HR,NULL
276,Delli (feat. Adel),0,"Ricky Rich, Adel",HR,NULL
277,Žrla Frla,52,"Crni Cerak, Cunami Flo, Neloe",HR,NULL
278,EA2 (The Beginning of the Era),1,Lil Uzi Vert,HR,NULL
279,Ganga i Rera,49,"Peki, Vojko V",HR,NULL
280,Little Window - Live Studio Session,3,FINNEAS,HR,NULL
281,Forza,53,Grše,HR,NULL
