nombre,popularity,artista,pais,genero
tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",IT,NULL
Il cielo di Roma - Live Session,0,Orang3,IT,NULL
Messy,86,Lola Young,IT,NULL
Ana Wingii,0,Wingii,IT,NULL
"Good Luck, Babe!",89,Chappell Roan,IT,NULL
Glass: Philip Glass: Les enfants terribles: The Somnambulist - Part 2,0,"Philip Glass, Katia & Marielle Labèque",IT,NULL
Move,80,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",IT,NULL
Babylon - Live,3,Tamino,IT,NULL
Q U E V A S H A C E R H O Y ?,81,"Omar Courtz, De La Rose",IT,NULL
Tuck Your Chain,0,"Money Man, Danny Towers",IT,NULL
Timeless (feat. Playboi Carti),87,"The Weeknd, Playboi Carti",IT,NULL
Dead Flowers,0,Boldy James,IT,NULL
Die With A Smile,96,"Lady Gaga, Bruno Mars",SI,NULL
That’s So True - Live From Radio City Music Hall,19,Gracie Abrams,SI,NULL
BASS,61,"Jala Brat, Buba Corelli",SI,NULL
Hurt,11,OneRepublic,SI,NULL
BLAKA BLAKA,60,"Jala Brat, Buba Corelli, Elena",SI,NULL
Babylon - Live,3,Tamino,SI,NULL
"Anđeo - From ""Sram""",57,"Miach, Hiljson Mandela",SI,NULL
Risk - Live From The Tonight Show With Jimmy Fallon,8,Gracie Abrams,SI,NULL
That’s So True,92,Gracie Abrams,SI,NULL
"Rachmaninov: Rhapsody on a Theme of Paganini, Op. 43: Variation 18 (Andante cantabile)",3,"Sergei Rachmaninoff, Martin James Bartlett, Joshua Weilerstein, London Philharmonic Orchestra",SI,NULL
BIRDS OF A FEATHER,93,Billie Eilish,SI,NULL
All We Got (feat. KIDDO),15,"Robin Schulz, KIDDO",SI,NULL
Voice,57,Nucci,SI,NULL
Don't Play by the Rules,3,"D.T.E, PREZIOSO",SI,NULL
SEXDRIVE,59,"Jala Brat, Buba Corelli",SI,NULL
Bank of Wildflowers (feat. Georgia),0,"William Orbit, Georgia",SI,NULL
KEHLANI,58,"Jala Brat, Buba Corelli",SI,NULL
Rodeo (Remix),9,"Lah Pat, Flo Milli",SI,NULL
Fantazija,55,"Grše, Miach",SI,NULL
Passenger Princess,5,"Aminé, Smino",SI,NULL
Bez Koda,56,"Jala Brat, Buba Corelli",SI,NULL
Family Feud - Live at The Ford,2,FINNEAS,SI,NULL
Sailor Song,89,Gigi Perez,SI,NULL
Little Window - Live Studio Session,3,FINNEAS,SI,NULL
Palme,51,"Ano, Mili",SI,NULL
04:30,7,"Haze, Mucco",SI,NULL
VVS,53,"Voyage, BakaPrase",SI,NULL
EA2 (The Beginning of the Era),1,Lil Uzi Vert,SI,NULL
Not Like Us,92,Kendrick Lamar,SI,NULL
Playa (feat. Ella Bands),1,"A Boogie Wit da Hoodie, Ella Bands",SI,NULL
Forza,53,Grše,SI,NULL
Full Round Table,0,CQ Wrestling,SI,NULL
VRATI JE TATI,56,"Jala Brat, Buba Corelli",SI,NULL
Vivien,1,††† (Crosses),SI,NULL
APT.,91,"ROSÉ, Bruno Mars",SI,NULL
Dead Flowers,0,Boldy James,SI,NULL
KINGSTON,56,"Jala Brat, Buba Corelli",SI,NULL
Circles,7,SAINt JHN,SI,NULL
Mangio Pasta,53,"Peki, Grše",SI,NULL
DUMBAI,1,"CA7RIEL & Paco Amoroso, CA7RIEL, Paco Amoroso",SI,NULL
Karneval II,53,Sajfer,SI,NULL
Swimming with Sharks,0,New Hope Club,SI,NULL
tv off (feat. lefty gunplay),90,"Kendrick Lamar, Lefty Gunplay",SI,NULL
I Ain't Sayin' - Performance,2,Jordan Davis,SI,NULL
WILDFLOWER,90,Billie Eilish,SI,NULL
