,nombre,popularity,artista,pais,genero
152,Litlar stjörnur,41,Hafdís Huld,IS,NULL
153,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,IS,NULL
154,Óskasteinar,41,Hafdís Huld,IS,NULL
155,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,IS,NULL
156,Sofðu unga ástin mín,41,Hafdís Huld,IS,NULL
157,Plastic Dreams 2003,2,JayDee,IS,NULL
158,Bíum bíum bambaló,40,Hafdís Huld,IS,NULL
159,Bede Z Toba - Hangout Live,2,Lemon,IS,NULL
160,Sofa urtubörn,40,Hafdís Huld,IS,NULL
161,Ballada o Janku Wisniewskim,1,Kazik,IS,rock
162,Ljós,40,Hafdís Huld,IS,NULL
163,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,IS,NULL
164,Ævintýralönd,40,Hafdís Huld,IS,NULL
165,Iré tras de ti,0,Mr.,IS,NULL
166,Nóttin læðist inn,40,Hafdís Huld,IS,NULL
167,Il fait chaud,0,Patrick Sébastien,IS,fiesta
168,Góða nótt,39,Hafdís Huld,IS,NULL
169,Now Is the Time (feat. Jasmine V),0,Wally Lopez,IS,NULL
170,Bí bí og blaka,39,Hafdís Huld,IS,NULL
171,Lågsus (feat. Medina),0,"Specktors, Medina",IS,NULL
172,Frost er úti fuglinn minn,39,Hafdís Huld,IS,NULL
173,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",IS,NULL
174,Sofðu,39,Hafdís Huld,IS,NULL
175,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,IS,NULL
176,Þú ert,38,Hafdís Huld,IS,NULL
177,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,IS,NULL
178,Sólskin,38,Hafdís Huld,IS,NULL
179,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,IS,NULL
180,Stingum Af,34,Mugison,IS,alternative
181,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",IS,NULL
182,Money Trees,79,"Kendrick Lamar, Jay Rock",IS,NULL
183,The Real Slim Shady - Edited,0,Eminem,IS,NULL
184,She Will,75,"Lil Wayne, Drake",IS,NULL
185,Smile,0,"Abel The Kid, Julio Iglesias Jr.",IS,NULL
186,Thinkin Bout You,81,Frank Ocean,IS,rnb
187,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,IS,NULL
188,Another Love,82,Tom Odell,IS,indie
189,G.U.Y. - An ARTPOP Film,0,Lady Gaga,IS,gaga
190,Lost,78,Frank Ocean,IS,rnb
191,好不好,0,Evan Yo,IS,fabulous boys
192,Take Me To Church,78,Hozier,IS,indie
193,Samba Pras Moças,0,Mariene De Castro,IS,NULL
194,Gúanó Stelpan,31,Mugison,IS,NULL
195,Hardkor i disko,0,Sofa,IS,indie
196,Yfir Borgina,31,Valdimar,IS,NULL
197,Red Light (feat. Snoop Lion),0,"Eddie Murphy, Snoop Lion",IS,NULL
198,Just the Way You Are,78,Bruno Mars,IS,pop
199,Losing You,0,Revolver,IS,fip
200,A Sky Full of Stars,83,Coldplay,IE,pop
201,Plastic Dreams 2003,2,JayDee,IE,NULL
202,Take Me To Church,78,Hozier,IE,indie
203,Thoda Thoda,0,"Shreya Ghoshal, Sachin",IE,NULL
204,Do I Wanna Know? - Live At the BBC,73,Hozier,IE,cover
205,Bede Z Toba,9,Lemon,IE,NULL
206,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",IE,NULL
207,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,IE,NULL
208,Timber,80,"Pitbull, Kesha",IE,NULL
209,Ballada o Janku Wisniewskim,1,Kazik,IE,rock
210,Wake Me Up,82,Avicii,IE,electronic
211,Bede Z Toba - Hangout Live,2,Lemon,IE,NULL
212,Another Love,82,Tom Odell,IE,indie
213,Byłem (feat. As),0,"Pezet, As",IE,NULL
214,Someone New,69,Hozier,IE,soul
215,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,IE,NULL
216,Shut Up and Dance,80,WALK THE MOON,IE,indie pop
