id,nombre,popularity,artista,pais,genero
225,Da Rockwilder,0,"Method Man, Redman",BE,NULL
226,Hips Don't Lie (feat. Wyclef Jean),80,"Shakira, Wyclef Jean",BE,NULL
227,My Name Is,0,Eminem,BE,rap
228,Temperature,77,Sean Paul,BE,reggae
229,Fabulous,0,High School Musical Cast,BE,Disney
230,Meet Me Halfway,74,Black Eyed Peas,BE,black eyed peas
231,Historia universal (El amor no es lo que piensas),0,DELUXE,BE,indie
232,Halo,69,Beyoncé,BE,pop
233,Coming Home,0,Sasha,BE,pop
234,How to Save a Life,78,The Fray,BE,alternative
235,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,BE,NULL
236,This Is The Life,72,Amy Macdonald,BE,female vocalists
237,Colillas en el sueño,0,DELUXE,BE,NULL
238,Valerie (feat. Amy Winehouse) - Version Revisited,76,"Mark Ronson, Amy Winehouse",BE,NULL
239,Stars of CCTV - Live at the Astoria,0,Hard-Fi,BE,NULL
240,The Way I Are,78,"Timbaland, Keri Hilson, D.O.E.",BE,NULL
241,Tendremos que esperar,0,DELUXE,BE,spanish pop
242,Party In The U.S.A.,76,Miley Cyrus,BE,pop
243,Mi rendición,0,Revolver,BE,Rock en Espanol
244,Promiscuous,80,"Nelly Furtado, Timbaland",BE,NULL
245,Si es tan solo amor,0,Revolver,BE,blues guitar
246,Back To Black,77,Amy Winehouse,BE,soul
247,Tá No Meu Coração - Ao Vivo,0,Edson & Hudson,BE,NULL
248,Smack That,79,"Akon, Eminem",BE,NULL
249,Start Of Something New,0,"Troy, Vanessa Hudgens",BE,NULL
250,Viva La Vida,82,Coldplay,LU,Coldplay
251,J'étais comme eux,0,Demon One,LU,NULL
252,Breakin' Dishes,81,Rihanna,LU,rnb
253,Get Around Town,0,Revolver,LU,rock
254,I Gotta Feeling,77,Black Eyed Peas,LU,pop
255,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,LU,NULL
256,Umbrella,78,"Rihanna, JAY-Z",LU,NULL
257,Odio,1,Revolver,LU,spanish
258,Chasing Cars,78,Snow Patrol,LU,indie
259,Save Me,1,"Morandi, Helene",LU,NULL
260,Hips Don't Lie (feat. Wyclef Jean),80,"Shakira, Wyclef Jean",LU,NULL
261,Clapton: Tears in Heaven/video,1,The Choirboys,LU,NULL
262,Poker Face,79,Lady Gaga,LU,pop
263,Historia universal (El amor no es lo que piensas),0,DELUXE,LU,indie
264,Headlock,83,Imogen Heap,LU,electronic
265,Coming Home,0,Sasha,LU,pop
266,Feel Good Inc.,82,Gorillaz,LU,alternative
267,Esqueça Que Eu Te Amo - Ao Vivo,0,Edson & Hudson,LU,NULL
268,Don't Stop The Music,78,Rihanna,LU,dance
269,Colillas en el sueño,0,DELUXE,LU,NULL
270,505,81,Arctic Monkeys,LU,indie rock
271,Goodbye,0,Sasha,LU,pop
272,Fix You,81,Coldplay,LU,Coldplay
273,Stars of CCTV - Live at the Astoria,0,Hard-Fi,LU,NULL
274,The Way I Are,78,"Timbaland, Keri Hilson, D.O.E.",LU,NULL
275,Tendremos que esperar,0,DELUXE,LU,spanish pop
276,Sex on Fire,79,Kings of Leon,LU,rock
277,Mi rendición,0,Revolver,LU,Rock en Espanol
278,Just Dance,77,"Lady Gaga, Colby O'Donis",LU,NULL
279,Si es tan solo amor,0,Revolver,LU,blues guitar
280,Promiscuous,80,"Nelly Furtado, Timbaland",LU,NULL
281,Tá No Meu Coração - Ao Vivo,0,Edson & Hudson,LU,NULL
282,Smack That,79,"Akon, Eminem",LU,NULL
283,Start Of Something New,0,"Troy, Vanessa Hudgens",LU,NULL
284,Temperature,77,Sean Paul,LU,reggae
285,No va más,0,Revolver,LU,rich spanish pop
286,Maneater,78,Nelly Furtado,LU,pop
287,Slowly,0,Sasha,LU,pop
288,Back To Black,77,Amy Winehouse,LU,soul
289,Soulcrusher,0,Operator,LU,Grunge
290,Heartless,80,Kanye West,LU,Kanye West
291,Womanizer (Director's Cut),0,Britney Spears,LU,my dance room
292,Dog Days Are Over,75,Florence + The Machine,LU,indie
293,Disco Eterno - Gira Me Verás Volver,0,Soda Stereo,LU,NULL
294,Halo,69,Beyoncé,LU,pop
295,B.Y.O.B.,0,System Of A Down,LU,alternative metal
296,Hot N Cold,72,Katy Perry,LU,pop
297,Nothing to Lose,0,Operator,LU,rock
298,Flashing Lights,80,"Kanye West, Dwele",LU,NULL
299,Nossa História - Ao Vivo,0,Edson & Hudson,LU,NULL
300,Viva La Vida,69,Coldplay,NL,Coldplay
301,Clapton: Tears in Heaven/video,1,The Choirboys,NL,NULL
302,Fix You,81,Coldplay,NL,Coldplay
303,Get Around Town,0,Revolver,NL,rock
304,Valerie (feat. Amy Winehouse) - Version Revisited,76,"Mark Ronson, Amy Winehouse",NL,NULL
305,We Right Here,0,DMX,NL,rap
306,Love You More,54,Racoon,NL,pop
307,Tu Vuoi Da Me Qualcosa - Live,1,Vasco Rossi,NL,NULL
308,Breakin' Dishes,81,Rihanna,NL,rnb
309,Goodbye,0,Sasha,NL,pop
310,505,81,Arctic Monkeys,NL,indie rock
311,Nothing to Lose,0,Operator,NL,rock
312,I Gotta Feeling,77,Black Eyed Peas,NL,pop
313,Soulcrusher,0,Operator,NL,Grunge
314,This Is The Life,72,Amy Macdonald,NL,female vocalists
315,Save Me,1,"Morandi, Helene",NL,NULL
316,Chasing Cars,78,Snow Patrol,NL,indie
317,J'étais comme eux,0,Demon One,NL,NULL
318,Headlock,83,Imogen Heap,NL,electronic
319,Odio,1,Revolver,NL,spanish
320,Laat De Zon In Je Hart,52,Rene Schuurmans,NL,Nederlandstalig
321,Coming Home,0,Sasha,NL,pop
322,Don't Stop The Music,78,Rihanna,NL,dance
323,There She Goes,0,Sasha,NL,pop
324,Back To Black,77,Amy Winehouse,NL,soul
325,Womanizer (Director's Cut),0,Britney Spears,NL,my dance room
326,Kali,52,Django Wagner,NL,NULL
327,Stars of CCTV - Live at the Astoria,0,Hard-Fi,NL,NULL
328,Heartless,80,Kanye West,NL,Kanye West
329,Tendremos que esperar,0,DELUXE,NL,spanish pop
330,Sex on Fire,79,Kings of Leon,NL,rock
