,nombre,popularity,artista,pais,genero
375,Ballada o Janku Wisniewskim,1,Kazik,RO,rock
376,Money Trees,79,"Kendrick Lamar, Jay Rock",RO,NULL
377,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,RO,NULL
378,Domnisoare (feat. Zhao & Spike),43,"Maximilian, Zhao, Spike",RO,NULL
379,Iré tras de ti,0,Mr.,RO,NULL
380,Defectul Tau Sunt Eu,42,Alex Velea,RO,pop dance
381,Lågsus (feat. Medina),0,"Specktors, Medina",RO,NULL
382,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",RO,NULL
383,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",RO,NULL
384,Why'd You Only Call Me When You're High?,80,Arctic Monkeys,RO,indie rock
385,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,RO,NULL
386,No Role Modelz,81,J. Cole,RO,MySpotigramBot
387,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",RO,NULL
388,Brazilianca Mea,45,Florin Salam,RO,NULL
389,The Real Slim Shady - Edited,0,Eminem,RO,NULL
390,Ay Vamos,70,J Balvin,RO,black metal
391,Smile,0,"Abel The Kid, Julio Iglesias Jr.",RO,NULL
392,Hot,65,INNA,RO,dance
393,G.U.Y. - An ARTPOP Film,0,Lady Gaga,RO,gaga
394,Locked out of Heaven,85,Bruno Mars,RO,pop
395,好不好,0,Evan Yo,RO,fabulous boys
396,Les,79,Childish Gambino,RO,Hip-Hop
397,Hardkor i disko,0,Sofa,RO,indie
398,LVL,76,A$AP Rocky,RO,rap
399,Red Light (feat. Snoop Lion),0,"Eddie Murphy, Snoop Lion",RO,NULL
400,Sweater Weather,85,The Neighbourhood,UA,indie
401,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,UA,NULL
402,I Wanna Be Yours,86,Arctic Monkeys,UA,indie rock
403,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,UA,NULL
404,Так гріє,50,Valentin Strykalo,UA,NULL
405,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",UA,NULL
406,Батареи,54,Нервы,UA,romantic
407,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,UA,NULL
408,Do I Wanna Know?,82,Arctic Monkeys,UA,indie rock
409,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,UA,NULL
410,Парусник,52,KRBK,UA,NULL
411,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",UA,NULL
412,Нервы,53,Нервы,UA,alternative
413,The Real Slim Shady - Edited,0,Eminem,UA,NULL
414,Кайен,52,Valentin Strykalo,UA,NULL
415,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,UA,NULL
416,Judas,76,Lady Gaga,UA,pop
417,G.U.Y. - An ARTPOP Film,0,Lady Gaga,UA,gaga
418,Все мои друзья,52,Valentin Strykalo,UA,NULL
419,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,UA,NULL
420,Why'd You Only Call Me When You're High?,80,Arctic Monkeys,UA,indie rock
421,Red Light (feat. Snoop Lion),0,"Eddie Murphy, Snoop Lion",UA,NULL
422,Жить в кайф,54,Max Korzh,UA,NULL
423,"Rum Whisky (From ""Vicky Donor"")",0,"Abhishek - Akshay, Akshay Verma",UA,NULL
424,На небі,48,Okean Elzy,UA,rock
425,"Muskurane (Film Version) [From ""Citylights""]",0,"Jeet Gannguli, Arijit Singh",UA,NULL
426,Ты не такая,51,Valentin Strykalo,UA,NULL
427,Eu Aposto - Ao Vivo,0,Eduardo Costa,UA,NULL
428,Говорили і курили,45,Скрябін,UA,Ukrainian
429,"Cloud 9 - From ""Cloud 9"" / Original TV Movie Soundtrack",0,"Dove Cameron, Luke Benward",UA,NULL
430,Фанк,51,Valentin Strykalo,UA,NULL
431,Cups (Pitch Perfect’s “When I’m Gone”) - Director's Cut / Closed-Captioned,0,Anna Kendrick,UA,NULL
432,Lovers Rock,82,TV Girl,UA,indie pop
433,Kruhy,0,"Lipo, Yanna",UA,NULL
434,Дешёвые драмы,50,Valentin Strykalo,UA,NULL
435,"Verlieben, verloren, vergessen, verzeih'n (ZDF Hitparade 30.01.1992) - VOD",0,Wolfgang Petry,UA,NULL
436,Black Siemens,51,PHARAOH,UA,NULL
437,Find Your Love - Extended Version,0,Drake,UA,NULL
438,No. 1 Party Anthem,84,Arctic Monkeys,UA,indie rock
439,All By Myself (ZDF Tele-Illustrierte 17.01.1989) - VOD,0,Peter Hofmann,UA,NULL
440,S&M,78,Rihanna,UA,pop
441,Pai,0,Grupo Revelação,UA,samba
442,Обломки чувств,53,TERESHINA,UA,NULL
443,Wrecking Ball - Director's Cut,0,Miley Cyrus,UA,NULL
444,Эверест,48,"KRBK, Sимптом",UA,NULL
445,Let Me Love You (Until You Learn To Love Yourself) - Director's Cut (Explicit),0,Ne-Yo,UA,NULL
446,Я так хочу...,47,Okean Elzy,UA,Ukrainian
447,Smooth Criminal,0,Michael Jackson,UA,pop
448,Северное сияние,52,Ivan Dorn,UA,pop
449,Magia - Intro,0,Maluma,UA,NULL
