,nombre,popularity,artista,pais,genero
137,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,CZ,NULL
138,Locked out of Heaven,85,Bruno Mars,CZ,pop
139,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",CZ,NULL
140,Memories (feat. Kid Cudi),75,"David Guetta, Kid Cudi",CZ,NULL
141,The Real Slim Shady - Edited,0,Eminem,CZ,NULL
142,TiK ToK,79,Kesha,CZ,dance
143,Smile,0,"Abel The Kid, Julio Iglesias Jr.",CZ,NULL
144,Summertime Sadness,78,Lana Del Rey,CZ,indie
145,G.U.Y. - An ARTPOP Film,0,Lady Gaga,CZ,gaga
146,Titanium (feat. Sia),77,"David Guetta, Sia",CZ,NULL
147,好不好,0,Evan Yo,CZ,fabulous boys
148,Radioactive,75,Imagine Dragons,CZ,indie
149,Hardkor i disko,0,Sofa,CZ,indie
150,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",SK,NULL
151,Plastic Dreams 2003,2,JayDee,SK,NULL
152,Sweater Weather,85,The Neighbourhood,SK,indie
153,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,SK,NULL
154,Another Love,82,Tom Odell,SK,indie
155,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,SK,NULL
156,I Wanna Be Yours,86,Arctic Monkeys,SK,indie rock
157,Bede Z Toba - Hangout Live,2,Lemon,SK,NULL
158,Timber,80,"Pitbull, Kesha",SK,NULL
159,Bede Z Toba,9,Lemon,SK,NULL
160,International Love (feat. Chris Brown),77,"Pitbull, Chris Brown",SK,NULL
161,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,SK,NULL
162,Wake Me Up,82,Avicii,SK,electronic
163,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,SK,NULL
164,LoveHate Thing (feat. Sam Dew),76,"Wale, Sam Dew",SK,NULL
165,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,SK,NULL
166,A Sky Full of Stars,83,Coldplay,SK,pop
167,Ballada o Janku Wisniewskim,1,Kazik,SK,rock
168,Can't Hold Us (feat. Ray Dalton),80,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",SK,NULL
169,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,SK,NULL
170,Counting Stars,82,OneRepublic,SK,pop rock
171,Iré tras de ti,0,Mr.,SK,NULL
172,Demons,79,Imagine Dragons,SK,rock
173,Il fait chaud,0,Patrick Sébastien,SK,fiesta
174,Locked out of Heaven,85,Bruno Mars,SK,pop
175,Lågsus (feat. Medina),0,"Specktors, Medina",SK,NULL
176,S&M,78,Rihanna,SK,pop
177,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",SK,NULL
178,We Found Love,78,"Rihanna, Calvin Harris",SK,NULL
179,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,SK,NULL
180,Only Girl (In The World),79,Rihanna,SK,pop
181,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",SK,NULL
182,Memories (feat. Kid Cudi),75,"David Guetta, Kid Cudi",SK,NULL
183,The Real Slim Shady - Edited,0,Eminem,SK,NULL
184,TiK ToK,79,Kesha,SK,dance
185,Smile,0,"Abel The Kid, Julio Iglesias Jr.",SK,NULL
186,DJ Got Us Fallin' In Love (feat. Pitbull),79,"USHER, Pitbull",SK,NULL
187,G.U.Y. - An ARTPOP Film,0,Lady Gaga,SK,gaga
188,No Role Modelz,81,J. Cole,SK,MySpotigramBot
189,好不好,0,Evan Yo,SK,fabulous boys
190,Shut Up and Dance,80,WALK THE MOON,SK,indie pop
191,Hardkor i disko,0,Sofa,SK,indie
192,Stolen Dance,75,Milky Chance,SK,indie
193,Red Light (feat. Snoop Lion),0,"Eddie Murphy, Snoop Lion",SK,NULL
194,Do I Wanna Know?,82,Arctic Monkeys,SK,indie rock
195,Losing You,0,Revolver,SK,fip
196,Call Me Maybe,76,Carly Rae Jepsen,SK,pop
197,Byłem (feat. As),0,"Pezet, As",SK,NULL
198,Just the Way You Are,78,Bruno Mars,SK,pop
199,"Rum Whisky (From ""Vicky Donor"")",0,"Abhishek - Akshay, Akshay Verma",SK,NULL
200,Sweater Weather,85,The Neighbourhood,HU,indie
201,Plastic Dreams 2003,2,JayDee,HU,NULL
202,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",HU,NULL
