,nombre,popularity,artista,pais,genero
121,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,CH,NULL
122,All of Me,81,John Legend,CH,rnb
123,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",CH,NULL
124,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",CH,NULL
125,Bede Z Toba,9,Lemon,CH,NULL
126,Just the Way You Are,78,Bruno Mars,CH,pop
127,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,CH,NULL
128,Stolen Dance,75,Milky Chance,CH,indie
129,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,CH,NULL
130,Take Me To Church,78,Hozier,CH,indie
131,Smooth Criminal,0,Michael Jackson,CH,pop
132,Timber,80,"Pitbull, Kesha",CH,NULL
133,Mealor: Peace,0,"Paul Mealor, Tenebrae, Nigel Short",CH,NULL
134,Someone Like You,77,Adele,CH,Adele
135,Losing You,0,Revolver,CH,fip
136,Titanium (feat. Sia),77,"David Guetta, Sia",CH,NULL
137,"You've Changed - Live at Blues Alley, January 1996",0,Eva Cassidy,CH,NULL
138,Shut Up and Dance,80,WALK THE MOON,CH,indie pop
139,Stoned In Love,0,"Chicane, Tom Jones",CH,NULL
140,We Found Love,73,"Rihanna, Calvin Harris",CH,NULL
141,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,CH,NULL
142,Set Fire to the Rain,77,Adele,CH,soul
143,Lågsus (feat. Medina),0,"Specktors, Medina",CH,NULL
144,Je te laisserai des mots,78,Patrick Watson,CH,french
145,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",CH,NULL
146,Call Me Maybe,76,Carly Rae Jepsen,CH,pop
147,Smile,0,"Abel The Kid, Julio Iglesias Jr.",CH,NULL
148,She Will,75,"Lil Wayne, Drake",CH,NULL
149,"No Risk, No Fun",0,"LINA, Emilio Moutaoukkil",CH,NULL
150,I Wanna Be Yours,86,Arctic Monkeys,LI,indie rock
151,Bede Z Toba,9,Lemon,LI,NULL
152,Sweater Weather,85,The Neighbourhood,LI,indie
153,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,LI,NULL
154,Locked out of Heaven,85,Bruno Mars,LI,pop
155,Plastic Dreams 2003,2,JayDee,LI,NULL
156,No. 1 Party Anthem,84,Arctic Monkeys,LI,indie rock
157,Bede Z Toba - Hangout Live,2,Lemon,LI,NULL
158,When I Was Your Man,83,Bruno Mars,LI,pop
159,Ballada o Janku Wisniewskim,1,Kazik,LI,rock
160,A Sky Full of Stars,83,Coldplay,LI,pop
161,"You Are Not Alone (Wetten, dass...? 20.02.1999) - Live from Wetten, dass...?, 1999",0,Modern Talking,LI,NULL
162,Night Changes,83,One Direction,LI,pop
163,Il fait chaud,0,Patrick Sébastien,LI,fiesta
164,Give Me Everything (feat. Nayer),82,"Pitbull, AFROJACK, Ne-Yo, Nayer",LI,NULL
165,Lågsus (feat. Medina),0,"Specktors, Medina",LI,NULL
166,Lovers Rock,82,TV Girl,LI,indie pop
167,"Pani Da Rang (From ""Vicky Donor"") - Male Vocals",0,"Abhishek - Akshay, Ayushmann Khurrana",LI,NULL
168,I Love You So,82,The Walters,LI,MySpotigramBot
169,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,LI,NULL
170,Another Love,82,Tom Odell,LI,indie
171,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,LI,NULL
172,Do I Wanna Know?,82,Arctic Monkeys,LI,indie rock
173,"Geronimo's Cadillac (Peters Pop-Show 06.12.1986) - Live from Peters Pop-Show, 1986",0,Modern Talking,LI,NULL
174,Counting Stars,82,OneRepublic,LI,pop rock
175,Fragile (Director's Cut),0,"Tech N9ne, Kendrick Lamar, ¡MAYDAY!, Kendall Morgan",LI,NULL
176,Wake Me Up,82,Avicii,LI,electronic
177,The Real Slim Shady - Edited,0,Eminem,LI,NULL
178,All of Me,81,John Legend,LI,rnb
179,Smile,0,"Abel The Kid, Julio Iglesias Jr.",LI,NULL
180,Story of My Life,81,One Direction,LI,pop
181,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,LI,NULL
182,No Role Modelz,81,J. Cole,LI,MySpotigramBot
183,G.U.Y. - An ARTPOP Film,0,Lady Gaga,LI,gaga
184,Sure Thing,81,Miguel,LI,rnb
185,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,LI,NULL
186,Thinkin Bout You,81,Frank Ocean,LI,rnb
187,好不好,0,Evan Yo,LI,fabulous boys
188,Young And Beautiful,80,Lana Del Rey,LI,indie
189,Hardkor i disko,0,Sofa,LI,indie
190,Love Me,80,"Lil Wayne, Drake, Future",LI,NULL
191,Red Light (feat. Snoop Lion),0,"Eddie Murphy, Snoop Lion",LI,NULL
192,Shut Up and Dance,80,WALK THE MOON,LI,indie pop
193,Losing You,0,Revolver,LI,fip
194,Skyfall,80,Adele,LI,Soundtrack
195,Byłem (feat. As),0,"Pezet, As",LI,NULL
196,Why'd You Only Call Me When You're High?,80,Arctic Monkeys,LI,indie rock
197,"Rum Whisky (From ""Vicky Donor"")",0,"Abhishek - Akshay, Akshay Verma",LI,NULL
198,Pumped Up Kicks,80,Foster The People,LI,indie
199,Wind Song,0,Revolver,LI,indie
200,Another Love,82,Tom Odell,BE,indie
201,Il fait chaud,0,Patrick Sébastien,BE,fiesta
202,Sweater Weather,85,The Neighbourhood,BE,indie
203,Plastic Dreams 2003,2,JayDee,BE,NULL
204,Someone Like You,77,Adele,BE,Adele
205,Now Is the Time (feat. Jasmine V),0,Wally Lopez,BE,NULL
206,Can't Hold Us (feat. Ray Dalton),80,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",BE,NULL
207,Wind Song,0,Revolver,BE,indie
208,Take Me To Church,78,Hozier,BE,indie
209,Losing You,0,Revolver,BE,fip
210,A Sky Full of Stars,83,Coldplay,BE,pop
211,"Cheri Cheri Lady (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",2,Modern Talking,BE,NULL
212,Wake Me Up,82,Avicii,BE,electronic
213,Bede Z Toba,9,Lemon,BE,NULL
214,Locked out of Heaven,85,Bruno Mars,BE,pop
215,25 ปี (มีหวัง),0,พงษ์สิทธิ์ คำภีร์,BE,NULL
216,All of Me,81,John Legend,BE,rnb
217,"Atlantis Is Calling (Na, sowas! 17.05.1986) - Live from Na, sowas!, 1986",0,Modern Talking,BE,NULL
218,Titanium (feat. Sia),77,"David Guetta, Sia",BE,NULL
219,Bede Z Toba - Hangout Live,2,Lemon,BE,NULL
220,Just the Way You Are,78,Bruno Mars,BE,pop
221,"Heaven Will Know (Peters Pop-Show 30.11.1985) - Live from Peters Pop Show, 1985",0,Modern Talking,BE,NULL
222,We Found Love,73,"Rihanna, Calvin Harris",BE,NULL
223,"You Can Win If You Want (Wetten, dass...? 18.05.1985) - Live from Wetten, dass...?, 1985",0,Modern Talking,BE,NULL
